Episode,Duration,Reward,Confidence,Success_Rate,Exploration_Rate,Q_Value
73,12,12.0,4.0102425416310625,0.0,0.28811085665309494,3.974139173825582
74,12,12.0,4.100669503211975,0.0,0.28456584783807715,4.06590195496877
75,16,16.0,4.059233531355858,0.0,0.2810736173284051,4.027709320187569
76,13,13.0,4.290849740688618,0.0,0.2764980531414955,4.27217881496136
77,16,16.0,4.251088619232178,0.0,0.2728472032705064,4.222200080752373
78,10,10.0,5.591641998291015,0.0,0.2684345329958712,4.9915416717529295
79,12,12.0,4.311742941538493,0.0,0.26572109564797064,4.270009358723958
80,10,10.0,5.910409307479858,0.0,0.2625094269470702,5.245563983917236
81,16,16.0,4.507133215665817,0.0,0.25986959244860275,4.48790180683136
82,17,17.0,4.544681605170755,0.0,0.25571389608554984,4.510552911197438
